iter	MultiClass
0	1.082065566
1	1.06655717
2	1.047896721
3	1.036342942
4	1.016777654
5	1.002411669
6	0.9900719939
7	0.9771246974
8	0.9631709328
9	0.9469008746
10	0.9334910016
11	0.9147828369
12	0.9045857889
13	0.8915588051
14	0.8817529215
15	0.8666039718
16	0.8546229304
17	0.8424676599
18	0.831319553
19	0.8178054984
20	0.8067622401
21	0.7974825217
22	0.7786011241
23	0.77007013
24	0.7614732739
25	0.7504067699
26	0.7394366223
27	0.7293139662
28	0.7179611557
29	0.7049305985
30	0.6956005249
31	0.6873873661
32	0.6797562142
33	0.6698643736
34	0.6613722138
35	0.6502742982
36	0.6423545191
37	0.6322871761
38	0.6254993555
39	0.6184578816
40	0.6114153783
41	0.6043241646
42	0.5951359073
43	0.585014331
44	0.5789913368
45	0.5734465175
46	0.5672309378
47	0.5621321042
48	0.555191645
49	0.5499527409
50	0.5455120108
51	0.5391359603
52	0.5332520753
53	0.5261566068
54	0.5202404733
55	0.5157381861
56	0.5105073928
57	0.5049929305
58	0.4978150925
59	0.4906836591
60	0.4864600573
61	0.4807071679
62	0.4750943073
63	0.4695293447
64	0.4613685732
65	0.4556173342
66	0.4514408339
67	0.4466943376
68	0.4421229398
69	0.4375249518
70	0.4310545903
71	0.4260796323
72	0.4212470361
73	0.4160207674
74	0.4124601807
75	0.4081628561
76	0.4024172947
77	0.3988276799
78	0.3948271409
79	0.3893867273
80	0.3844680483
81	0.378498393
82	0.3727987498
83	0.3667742273
84	0.363022686
85	0.359684704
86	0.3550850158
87	0.349967843
88	0.3454880045
89	0.3421576762
90	0.3377496616
91	0.3323695682
92	0.3276474333
93	0.3238114986
94	0.3183690146
95	0.3156937329
96	0.3117759498
97	0.308905532
98	0.3054762671
99	0.3026812178
100	0.2994597205
101	0.2962259462
102	0.2923977885
103	0.2886664874
104	0.2856498876
105	0.2812731764
106	0.2787377543
107	0.2754095579
108	0.2722848294
109	0.2696888854
110	0.2671733285
111	0.2641068529
112	0.2612380716
113	0.2586933244
114	0.2551160083
115	0.2523690357
116	0.2495415752
117	0.2461406568
118	0.2428992701
119	0.240396236
120	0.2366590794
121	0.2344516198
122	0.2324593446
123	0.2289821323
124	0.226816642
125	0.2244016123
126	0.2224212514
127	0.2196528112
128	0.217534665
129	0.2153917961
130	0.213038631
131	0.2110251415
132	0.2083566173
133	0.2063318712
134	0.2042195402
135	0.2021915273
136	0.2003823512
137	0.1989244343
138	0.197429611
139	0.1950483043
140	0.19243524
141	0.1905966523
142	0.1890112083
143	0.1873102266
144	0.1851059055
145	0.1835561168
146	0.1822710671
147	0.1807671713
148	0.1793029768
149	0.1774362478
150	0.1762390316
151	0.1747677389
152	0.1731823725
153	0.1719111337
154	0.1700104305
155	0.1682664826
156	0.1671910269
157	0.1657574328
158	0.1643276125
159	0.1632272044
160	0.1622497154
161	0.1610284122
162	0.159834756
163	0.1585791482
164	0.1571986156
165	0.1558743745
166	0.1543998458
167	0.1530058918
168	0.1520058751
169	0.1508455112
170	0.1498421812
171	0.1488082166
172	0.147587543
173	0.1465026623
174	0.1456505712
175	0.1437080876
176	0.1425537307
177	0.1416410646
178	0.1403100557
179	0.1391428906
180	0.1382496671
